id,u,v,x1,x2,y
76,0.5,1.5,0.99700287,0.658153827,4.317985427
77,1,1.5,0.788136692,0.951135907,6.668987546
78,1.5,1.5,0.164459154,0.384382054,3.99412117
79,2,1.5,0.651040989,0.657094352,4.929485982
80,2.5,1.5,0.974620886,0.161498644,3.845490591
81,3,1.5,0.081680873,0.253101777,2.409461947
82,3.5,1.5,0.946853004,0.570373149,4.15869209
83,4,1.5,0.842098982,0.158801218,2.739543077
84,4.5,1.5,0.487585901,0.557307544,4.169063322
85,5,1.5,0.40062599,0.52460161,4.242691488
86,5.5,1.5,0.470161714,0.925102001,5.889864836
87,6,1.5,0.034593195,0.188707754,3.650896303
88,6.5,1.5,0.127064231,0.743416062,4.921580526
89,7,1.5,0.238300677,0.752985036,5.463058833
90,7.5,1.5,0.712524109,0.588552325,4.547916206
91,8,1.5,0.971937187,0.977206564,5.923318744
92,8.5,1.5,0.100974356,0.238305262,2.52849723
93,9,1.5,0.52701594,0.30356778,3.114122873
94,9.5,1.5,0.694901514,0.823965315,5.983423152
95,10,1.5,0.753799436,0.42174246,5.345767167
96,10.5,1.5,0.981455196,0.42867654,6.179778601
97,11,1.5,0.870276061,0.951416444,5.321006331
98,11.5,1.5,0.257816607,0.370884349,2.702454693
99,12,1.5,0.828610184,0.41082164,3.865486213
100,0,2,0.891943124,0.296567907,4.92675062
101,0.5,2,0.092599489,0.601780065,3.914806159
102,1,2,0.569854446,0.602664624,5.285925763
103,1.5,2,0.315495844,0.723624034,4.666205297
104,2,2,0.538807827,0.715475792,4.389450282
105,2.5,2,0.630734374,0.528154943,4.385217401
106,3,2,0.295717427,0.423955561,2.99301685
107,3.5,2,0.36491474,0.059619196,2.071851672
108,4,2,0.957475925,0.205636039,4.308600027
109,4.5,2,0.459851775,0.533974484,4.400023755
110,5,2,0.227043093,0.602389148,4.662078522
111,5.5,2,0.607318378,0.534494249,5.440916485
112,6,2,0.16727603,0.554461585,4.956993123
113,6.5,2,0.823578401,0.478855956,5.357384289
114,7,2,0.078494175,0.435381283,3.518626415
115,7.5,2,0.818655171,0.08434525,4.034822275
116,8,2,0.495149459,0.073515977,2.39410873
117,8.5,2,0.744418047,0.581350102,4.327661058
118,9,2,0.100862696,0.835145098,3.4964261
119,9.5,2,0.602691758,0.656635654,4.786349598
120,10,2,0.027364025,0.07807585,2.796055059
121,10.5,2,0.90793564,0.449188899,5.473084594
122,11,2,0.194324814,0.330233537,4.318210998
123,11.5,2,0.204067207,0.213993653,3.686579437
124,12,2,0.1359872,0.167773316,2.821357233
125,0,2.5,0.109482232,0.600519005,3.391052706
126,0.5,2.5,0.639691567,0.063732876,4.602798317
127,1,2.5,0.39704471,0.820893097,4.618569992
128,1.5,2.5,0.202845358,0.844654722,4.324912729
129,2,2.5,0.770128756,0.884746495,5.555703227
130,2.5,2.5,0.241234401,0.720360742,3.680101107
131,3,2.5,0.347362532,0.031221719,2.070272069
132,3.5,2.5,0.481081734,0.747105657,3.65181686
133,4,2.5,0.300443976,0.642995289,4.139076766
134,4.5,2.5,0.109263912,0.560362324,3.562427023
135,5,2.5,0.538546853,0.141977846,4.264330624
136,5.5,2.5,0.346087622,0.568855402,4.914139787
137,6,2.5,0.189740107,0.956946152,6.76881123
138,6.5,2.5,0.514273721,0.019454642,4.436065267
139,7,2.5,0.967128047,0.815437278,7.842077602
140,7.5,2.5,0.335839219,0.743831513,4.935889468
141,8,2.5,0.466887795,0.612168711,4.579788479
142,8.5,2.5,0.491700503,0.505399549,3.048332485
143,9,2.5,0.227590716,0.86176654,3.820251109
144,9.5,2.5,0.221021308,0.7501123,3.960514244
145,10,2.5,0.317411904,0.923812552,5.29341162
146,10.5,2.5,0.844184252,0.084010184,4.279963103
147,11,2.5,0.41481481,0.425496563,4.049188307
148,11.5,2.5,0.633190729,0.798812224,5.035238824
149,12,2.5,0.852697562,0.234702488,5.105332094
150,0,3,0.35736581,0.604126293,3.339380469
151,0.5,3,0.592222457,0.788330169,5.039923337
152,1,3,0.20108391,0.549479525,3.549711945
153,1.5,3,0.949129742,0.75825357,4.813702066
154,2,3,0.372798396,0.597494974,3.501729115
155,2.5,3,0.391935617,0.188459014,2.127068745
156,3,3,0.824501903,0.263765914,3.527174419
157,3.5,3,0.570984026,0.816697624,5.387827459
158,4,3,0.869019661,0.718561366,6.116478308
159,4.5,3,0.004650192,0.724956461,4.485724537
160,5,3,0.802223882,0.603006706,6.572900535
161,5.5,3,0.078730886,0.260481839,4.390367422
162,6,3,0.902199025,0.473377769,6.936928429
163,6.5,3,0.119285231,0.530753075,5.458832182
164,7,3,0.445048145,0.616444307,5.645994577
165,7.5,3,0.592867852,0.417066576,4.195387078
166,8,3,0.862522461,0.60813197,5.745402799
167,8.5,3,0.93029144,0.661539576,5.616558093
168,9,3,0.450560329,0.988154806,5.66152488
169,9.5,3,0.406266079,0.759728502,3.845473545
170,10,3,0.976267627,0.156021292,3.826535409
171,10.5,3,0.968242444,0.137080987,4.471787292
172,11,3,0.101603884,0.487163915,2.925034744
173,11.5,3,0.852592924,0.120225046,5.366677705
174,12,3,0.067004778,0.768078901,5.042912801
175,0,3.5,0.089682783,0.674269427,2.684660282
176,0.5,3.5,0.507439095,0.99731726,4.044764198
177,1,3.5,0.030308996,0.189332353,1.602766598
178,1.5,3.5,0.777448435,0.118869741,3.060085614
179,2,3.5,0.308625996,0.106487865,2.190294807
180,2.5,3.5,0.847937077,0.88804083,5.833384151
181,3,3.5,0.106268906,0.171467775,2.343813426
182,3.5,3.5,0.315419068,0.981064053,5.604480656
183,4,3.5,0.586049443,0.923321457,5.392596057
184,4.5,3.5,0.011008853,0.741268639,5.290761582
185,5,3.5,0.802094655,0.194381933,5.412991492
186,5.5,3.5,0.649423956,0.781528659,8.792355366
187,6,3.5,0.996510145,0.53571324,7.70074753
188,6.5,3.5,0.972743339,0.060533402,5.978182443
189,7,3.5,0.427195413,0.305872921,4.050156464
190,7.5,3.5,0.158240947,0.185759356,3.881927827
191,8,3.5,0.951979183,0.596629569,5.745126057
192,8.5,3.5,0.072612198,0.426669038,3.333276197
193,9,3.5,0.6641126,0.332057232,3.603425116
194,9.5,3.5,0.585420842,0.471676874,3.63974546
195,10,3.5,0.704321991,0.404692925,3.745116875
196,10.5,3.5,0.264091751,0.670269742,3.547081961
197,11,3.5,0.008990776,0.985451037,3.283350229
198,11.5,3.5,0.119985564,0.495361532,2.278051303
199,12,3.5,0.446543995,0.378111503,3.285516993
200,0,4,0.246039933,0.911236535,2.431117174
201,0.5,4,0.472716658,0.461275169,2.520027065
202,1,4,0.897432584,0.715692379,4.007685817
203,1.5,4,0.86899716,0.814185824,4.857891535
204,2,4,0.18562949,0.788824422,4.307642212
205,2.5,4,0.664202871,0.16017442,2.752831362
206,3,4,0.298089435,0.901465346,5.303749055
207,3.5,4,0.057996895,0.264956014,2.737041195
208,4,4,0.651586312,0.913223274,7.357792686
209,4.5,4,0.09492023,0.481615098,4.757719355
210,5,4,0.483514096,0.926776293,8.046087779
211,5.5,4,0.069813184,0.714689184,6.581745827
212,6,4,0.042061443,0.791879115,5.959115894
213,6.5,4,0.079580248,0.287790374,3.862046285
214,7,4,0.585200712,0.330430861,5.587401537
215,7.5,4,0.457563386,0.79091828,6.416635579
216,8,4,0.200254523,0.783414734,5.526233014
217,8.5,4,0.80136728,0.867002482,6.356875474
218,9,4,0.814098224,0.773790898,7.440070234
219,9.5,4,0.758493587,0.636366389,4.602667717
220,10,4,0.962580478,0.139469479,3.775494886
221,10.5,4,0.731651644,0.178557344,2.72520489
222,11,4,0.308494489,0.763310023,3.15835444
223,11.5,4,0.28307341,0.6049136,2.748536161
224,12,4,0.993763803,0.445483041,4.56420383
225,0,4.5,0.861885477,0.3001269,2.523978236
226,0.5,4.5,0.910404457,0.152873058,3.304714904
227,1,4.5,0.343072766,0.233229395,2.388650249
228,1.5,4.5,0.378284339,0.633143901,4.411126392
229,2,4.5,0.247520139,0.776629745,3.829483544
230,2.5,4.5,0.993599468,0.14482174,4.937095179
231,3,4.5,0.607994983,0.328470992,4.266089723
232,3.5,4.5,0.520921973,0.408124302,5.420850982
233,4,4.5,0.252689367,0.627065485,5.777770469
234,4.5,4.5,0.943387013,0.067154562,5.341021799
235,5,4.5,0.155335884,0.984017259,7.601992502
236,5.5,4.5,0.602189344,0.34145636,6.267636905
237,6,4.5,0.507371629,0.534599907,6.176239713
238,6.5,4.5,0.39926267,0.540602612,6.492296382
239,7,4.5,0.270172658,0.571712859,6.483551643
240,7.5,4.5,0.96231531,0.7255047,7.96700599
241,8,4.5,0.353987634,0.206074986,4.391599429
242,8.5,4.5,0.975063935,0.661267339,7.43885254
243,9,4.5,0.438657029,0.526036825,5.217605588
244,9.5,4.5,0.586727043,0.390664143,5.305876162
245,10,4.5,0.640692064,0.98221448,5.766336105
246,10.5,4.5,0.347567905,0.639807649,4.48448431
247,11,4.5,0.972622994,0.765213031,5.614689059
248,11.5,4.5,0.850197556,0.524856248,3.741489527
249,12,4.5,0.440940139,0.595440195,2.398740944
250,0,5,0.436503896,0.025408343,2.671537163
251,0.5,5,0.957881716,0.545984156,5.322770574
252,1,5,0.301375092,0.167983296,3.404481654
253,1.5,5,0.229256871,0.468923561,4.229961043
254,2,5,0.043771916,0.194133201,2.813201038
255,2.5,5,0.711104462,0.236023264,4.237080726
256,3,5,0.869952091,0.419785135,5.970592636
257,3.5,5,0.264384947,0.102211706,3.644683899
258,4,5,0.543363262,0.781102817,6.400001426
259,4.5,5,0.053031182,0.775644046,5.875193262
260,5,5,0.301080828,0.955356165,7.497626628
261,5.5,5,0.34855686,0.22544334,5.084314434
262,6,5,0.108822063,0.409795149,5.266332072
263,6.5,5,0.339873827,0.794377039,7.620505616
264,7,5,0.720236962,0.384736231,6.419516188
265,7.5,5,0.104088973,0.308762999,4.209243222
266,8,5,0.739762348,0.827194277,8.107041196
267,8.5,5,0.375306039,0.213151999,4.618244405
268,9,5,0.215731485,0.115688969,3.80796162
269,9.5,5,0.055607172,0.55526165,4.706534506
270,10,5,0.690326748,0.90294685,6.213973728
271,10.5,5,0.014511613,0.235843834,3.420885272
272,11,5,0.301317644,0.02610691,2.832109195
273,11.5,5,0.438951332,0.703431093,4.115222044
274,12,5,0.028659736,0.065995443,1.87264114
275,0,5.5,0.871016587,0.401046643,5.514492632
276,0.5,5.5,0.068253446,0.569952294,2.895799132
277,1,5.5,0.008964646,0.782496895,4.919773346
278,1.5,5.5,0.063749635,0.353363353,3.694796019
279,2,5.5,0.826845552,0.953334181,7.494823014
280,2.5,5.5,0.867532991,0.197330008,4.200020335
281,3,5.5,0.75648124,0.94416944,9.433944867
282,3.5,5.5,0.162422822,0.335520958,4.57774917
283,4,5.5,0.041455013,0.247724887,3.75838475
284,4.5,5.5,0.853484077,0.430484668,6.680837696
285,5,5.5,0.98541189,0.513902863,7.432225922
286,5.5,5.5,0.921125741,0.405616301,5.962816091
287,6,5.5,0.978518363,0.912247403,11.33460112
288,6.5,5.5,0.655798065,0.241427199,5.070269092
289,7,5.5,0.838822945,0.046546204,5.594488208
290,7.5,5.5,0.470145439,0.349289904,5.88771303
291,8,5.5,0.984973376,0.350812886,7.06796878
292,8.5,5.5,0.857091516,0.088397124,5.951834897
293,9,5.5,0.299534195,0.964447539,6.927077696
294,9.5,5.5,0.068238301,0.906386827,5.466220491
295,10,5.5,0.096177445,0.922300359,6.099541355
296,10.5,5.5,0.424959404,0.722259828,5.966449032
297,11,5.5,0.748874034,0.560442703,4.681279777
298,11.5,5.5,0.262482098,0.103150343,3.415005276
299,12,5.5,0.433692472,0.531796797,4.326145642
300,0,6,0.583251193,0.945535337,4.674320864
301,0.5,6,0.318659844,0.147721827,3.698884095
302,1,6,0.381448752,0.138396604,3.972797607
303,1.5,6,0.401860227,0.413288796,5.398900025
304,2,6,0.480902083,0.745463102,6.350895647
305,2.5,6,0.517349592,0.952161221,8.051305673
306,3,6,0.148874401,0.490120888,4.541114453
307,3.5,6,0.481009323,0.627100644,7.072468008
308,4,6,0.98568012,0.300107287,6.250374261
309,4.5,6,0.280151948,0.962716398,8.031638886
310,5,6,0.796216615,0.83223777,8.268513975
311,5.5,6,0.542595995,0.638785207,7.291834508
312,6,6,0.877252826,0.202035461,5.412308982
313,6.5,6,0.441868145,0.560180781,6.089611067
314,7,6,0.730641966,0.454791866,6.768906337
315,7.5,6,0.304069763,0.22199047,4.829413577
316,8,6,0.447347792,0.92013066,8.625733174
317,8.5,6,0.755083364,0.411156003,6.950936113
318,9,6,0.629033615,0.726577976,7.144531431
319,9.5,6,0.011123416,0.369614571,5.06464714
320,10,6,0.918501296,0.859845785,8.07361088
321,10.5,6,0.187736958,0.222055583,3.495512991
322,11,6,0.781666378,0.806991562,6.910326157
323,11.5,6,0.77651019,0.736853009,6.188306704
324,12,6,0.567309161,0.902145846,5.686205043
325,0,6.5,0.074033219,0.933082534,4.031906974
326,0.5,6.5,0.883719152,0.155114047,5.057484907
327,1,6.5,0.206111419,0.561972597,4.093950021
328,1.5,6.5,0.855100798,0.976792661,7.937629748
329,2,6.5,0.953679437,0.83990608,6.759256513
330,2.5,6.5,0.86054675,0.595740164,6.656061565
331,3,6.5,0.415621168,0.60042579,5.555309336
332,3.5,6.5,0.285636106,0.77163151,6.784408954
333,4,6.5,0.159625566,0.722457936,7.421050633
334,4.5,6.5,0.522435602,0.533155754,5.879044275
335,5,6.5,0.393255524,0.969814608,8.63631769
336,5.5,6.5,0.465848779,0.090967373,5.085687761
337,6,6.5,0.923753911,0.688178923,8.397147018
338,6.5,6.5,0.985634933,0.538339373,6.770670257
339,7,6.5,0.124655,0.213308185,3.810751116
340,7.5,6.5,0.845750169,0.999133618,8.77958954
341,8,6.5,0.16985268,0.206857823,4.267672852
342,8.5,6.5,0.754203279,0.071068042,4.695705556
343,9,6.5,0.732032183,0.168164126,4.865226771
344,9.5,6.5,0.655350332,0.122008228,4.845335473
345,10,6.5,0.149118989,0.260248198,4.417700968
346,10.5,6.5,0.91193657,0.347429189,5.86464804
347,11,6.5,0.771364697,0.862166228,6.49434182
348,11.5,6.5,0.253212963,0.487475938,4.018811071
349,12,6.5,0.819194847,0.652178451,4.996985463
350,0,7,0.441290712,0.439917364,2.747734685
351,0.5,7,0.039616111,0.547251369,3.128822609
352,1,7,0.912522559,0.937276394,5.368878543
353,1.5,7,0.685993712,0.601439119,4.799517906
354,2,7,0.051572768,0.774432514,5.326691256
355,2.5,7,0.197009019,0.815808046,5.568466351
356,3,7,0.099350515,0.252152137,4.037871804
357,3.5,7,0.40507452,0.280974312,4.805672979
358,4,7,0.766332246,0.445436312,7.215923886
359,4.5,7,0.934476939,0.972479214,8.416360861
360,5,7,0.080448404,0.968898841,7.474042417
361,5.5,7,0.054299595,0.747305311,5.838746919
362,6,7,0.669307572,0.35287294,6.452174314
363,6.5,7,0.465564633,0.850801459,7.290395583
364,7,7,0.776309956,0.460976496,7.042419309
365,7.5,7,0.459037301,0.751058057,7.2540588
366,8,7,0.809217363,0.887634285,8.821656972
367,8.5,7,0.529585931,0.76936831,7.627097252
368,9,7,0.955165999,0.347151748,5.995631328
369,9.5,7,0.831356258,0.902050827,6.533036298
370,10,7,0.148915858,0.346918773,3.580931648
371,10.5,7,0.324456951,0.940139252,5.351423304
372,11,7,0.124625308,0.142484791,2.881244155
373,11.5,7,0.484617518,0.888814977,4.756628291
374,12,7,0.560534127,0.483614343,4.680016423
375,0,7.5,0.960414422,0.510548474,3.900944963
376,0.5,7.5,0.490222907,0.385053162,3.367240347
377,1,7.5,0.5307043,0.99437149,4.322213974
378,1.5,7.5,0.675046487,0.90429486,5.499544174
379,2,7.5,0.508548398,0.581937253,4.431577182
380,2.5,7.5,0.346506801,0.866694572,5.019153138
381,3,7.5,0.984787369,0.787962807,6.840942897
382,3.5,7.5,0.852715087,0.402539173,5.54543513
383,4,7.5,0.164609233,0.746881603,5.813580067
384,4.5,7.5,0.31799814,0.625915905,5.663399017
385,5,7.5,0.211673362,0.163052797,4.369949561
386,5.5,7.5,0.98520539,0.262022077,6.071218598
387,6,7.5,0.232548783,0.496669926,4.693838995
388,6.5,7.5,0.859500698,1,9.49290303
389,7,7.5,0.109663777,0.129262832,3.836400748
390,7.5,7.5,0.450841108,0.476198116,5.499573645
391,8,7.5,0.663385887,0.596898057,6.59790418
392,8.5,7.5,0.403607432,0.705787974,5.559793008
393,9,7.5,0.86333778,0.683054623,6.347499963
394,9.5,7.5,0.311887554,0.072157732,3.184428747
395,10,7.5,0.040665164,0.124413798,2.24138951
396,10.5,7.5,0.355580737,0.39854484,3.934129898
397,11,7.5,0.381355265,0.14181659,2.591933981
398,11.5,7.5,0.858002409,0.001929028,2.760384899
399,12,7.5,0.527877294,0.504778007,2.797403178
400,0,8,0.086429712,0.527876572,1.88311292
401,0.5,8,0.486538746,0.623335903,2.148863523
402,1,8,0.400954441,0.704410998,3.840695284
403,1.5,8,0.410702102,0.160400943,2.492195029
404,2,8,0.757338464,0.201563478,3.582105173
405,2.5,8,0.240108649,0.37749002,2.984258878
406,3,8,0.977917801,0.063391628,4.092951991
407,3.5,8,0.006110706,0.346398211,3.439243225
408,4,8,0.640197526,0.066419878,3.671039281
409,4.5,8,0.83670238,0.361155608,5.993732411
410,5,8,0.129545568,0.226053713,4.000556062
411,5.5,8,0.455236388,0.720917159,6.225506856
412,6,8,0.842499239,0.471987279,6.533742271
413,6.5,8,0.422969516,0.037928622,4.307129736
414,7,8,0.728273077,0.347643312,5.998805311
415,7.5,8,0.065642284,0.660548579,4.437015277
416,8,8,0.037272441,0.443236742,4.36726358
417,8.5,8,0.571401147,0.95723215,6.654309715
418,9,8,0.136006458,0.661535885,4.723225317
419,9.5,8,0.405415899,0.404960564,3.973301389
420,10,8,0.349978951,0.516877111,3.935618505
421,10.5,8,0.252631487,0.021236938,1.285688248
422,11,8,0.611956294,0.520251554,3.397919451
423,11.5,8,0.221792807,0.07794389,1.605507451
424,12,8,0.381614623,0.034018705,2.23586561
425,0,8.5,0.042259467,0.753996829,2.794242494
426,0.5,8.5,0.057081609,0.00881184,2.234357701
427,1,8.5,0.169950402,0.762370263,3.008598699
428,1.5,8.5,0.807503771,0.936647755,4.048984562
429,2,8.5,0.808237121,0.35773865,2.742127537
430,2.5,8.5,0.135834321,0.844835346,4.149007294
431,3,8.5,0.810424801,0.995580263,5.669575145
432,3.5,8.5,0.846904886,0.616965892,6.126247748
433,4,8.5,0.888919285,0.388129258,5.956096095
434,4.5,8.5,0.345550244,0.184877224,3.504095943
435,5,8.5,0.075845705,0.224165355,3.735679496
436,5.5,8.5,0.381512261,0.037905165,3.910260971
437,6,8.5,0.525924588,0.442626037,6.080953947
438,6.5,8.5,0.792731943,0.121606592,5.069092958
439,7,8.5,0.318840662,0.49287843,5.544414675
440,7.5,8.5,0.416227721,0.977640838,6.646412543
441,8,8.5,0.909341289,0.000835065,4.440721835
442,8.5,8.5,0.154758811,0.054762358,2.237159322
443,9,8.5,0.843933439,0.053572152,2.945192815
444,9.5,8.5,0.724305415,0.516420666,4.765034919
445,10,8.5,0.304950473,0.83124872,4.158756854
446,10.5,8.5,0.53747417,0.169924254,2.817293976
447,11,8.5,0.78108879,0.7339103,4.963834878
448,11.5,8.5,0.198976576,0.049169428,2.286334257
449,12,8.5,0.809609529,0.676427312,5.227726604
450,0,9,0.249030283,0.781679039,4.20668935
451,0.5,9,0.02379543,0.005611415,2.682307181
452,1,9,0.490439132,0.425595627,4.125731419
453,1.5,9,0.196747377,0.64976856,3.05492768
454,2,9,0.327857775,0.401012209,2.853014144
455,2.5,9,0.293960081,0.452267296,2.55552709
456,3,9,0.604602238,0.253216336,2.577051821
457,3.5,9,0.112444541,0.658715949,3.446216799
458,4,9,0.509265669,0.174314867,3.457919576
459,4.5,9,0.35618221,0.936251164,7.074716577
460,5,9,0.69639861,0.564486099,6.376740638
461,5.5,9,0.301807798,0.461679849,5.580358488
462,6,9,0.467904156,0.496526721,5.546511318
463,6.5,9,0.760699621,0.588490239,7.710679938
464,7,9,0.287452115,0.153733983,3.943760944
465,7.5,9,0.28507213,0.648799581,5.53611151
466,8,9,0.671839828,0.22393395,3.698454899
467,8.5,9,0.997971688,0.294924331,4.648074728
468,9,9,0.906435249,0.474683498,5.388268244
469,9.5,9,0.363280919,0.704126694,4.042657559
470,10,9,0.58260082,0.091554142,2.630408224
471,10.5,9,0.24482493,0.820801039,3.243895178
472,11,9,0.203944018,0.736037814,3.263232304
473,11.5,9,0.217229245,0.735338601,4.379907369
474,12,9,0.260569006,0.379822886,3.400656421
475,0,9.5,0.242908125,0.430975028,3.849885797
476,0.5,9.5,0.973633516,0.127764317,5.517947476
477,1,9.5,0.477117678,0.199563579,3.970261085
478,1.5,9.5,0.095776943,0.825028932,4.548926884
479,2,9.5,0.898159194,0.959517829,6.227401231
480,2.5,9.5,0.323609304,0.423000798,2.49681401
481,3,9.5,0.25663121,0.181897758,1.576410888
482,3.5,9.5,0.975393725,0.330573762,3.762238238
483,4,9.5,0.737703479,0.768310386,5.467370789
484,4.5,9.5,0.656634009,0.162481431,3.833862474
485,5,9.5,0.437602584,0.270080328,4.237829114
486,5.5,9.5,0.175846092,0.871023189,7.111222794
487,6,9.5,0.764117287,0.304200759,6.259419682
488,6.5,9.5,0.586219788,0.787543534,7.39982575
489,7,9.5,0.046717255,0.382421565,3.658426212
490,7.5,9.5,0.244397468,0.003920657,2.11855657
491,8,9.5,0.984346365,0.269161528,3.655101937
492,8.5,9.5,0.725508978,0.349134667,3.780020975
493,9,9.5,0.707258401,0.198884893,3.447862669
494,9.5,9.5,0.676907289,0.692130016,4.643321128
495,10,9.5,0.480656812,0.71323287,4.31768935
496,10.5,9.5,0.235300475,0.559098869,3.778886757
497,11,9.5,0.364015426,0.387688614,5.10804488
498,11.5,9.5,0.328933835,0.921495927,4.443875895
499,12,9.5,0.144166015,0.126683812,3.401377022
500,0,10,0.536999612,0.088690977,3.487692341
501,0.5,10,0.009373205,0.844289522,3.624995146
502,1,10,0.983223643,0.702809415,5.883498273
503,1.5,10,0.568145968,0.20618636,4.287319686
504,2,10,0.755833589,0.917192023,6.442310078
505,2.5,10,0.097780678,0.441362595,2.250438852
506,3,10,0.946014077,0.779715936,4.851324098
507,3.5,10,0.767575133,0.166277868,3.079060762
508,4,10,0.922601995,0.3271999,4.439702052
509,4.5,10,0.245550549,0.003911075,2.538876362
510,5,10,0.569721527,0.135334049,3.930139604
511,5.5,10,0.318721852,0.173948051,3.84640703
512,6,10,0.404192704,0.366516822,5.040751241
513,6.5,10,0.388325293,0.20871077,4.112642912
514,7,10,0.895638133,0.303452619,4.760791356
515,7.5,10,0.024241027,0.487144309,3.348399962
516,8,10,0.524515338,0.998976845,4.888057664
517,8.5,10,0.930693291,0.570368271,4.507037881
518,9,10,0.17337325,0.372996267,2.632848406
519,9.5,10,0.420807103,0.955106905,5.733531552
520,10,10,0.791452937,0.191430248,4.51415676
521,10.5,10,0.98796397,0.001042992,5.151963196
522,11,10,0.883006482,0.188375005,6.172580524
523,11.5,10,0.360902351,0.162244913,3.271914617
524,12,10,0.321770115,0.490596922,3.982851772
525,0,10.5,0.547776152,0.64613689,2.779471245
526,0.5,10.5,0.967425159,0.210558775,4.2574525
527,1,10.5,0.355590653,0.087571888,3.558373194
528,1.5,10.5,0.614096127,0.742460665,5.151906741
529,2,10.5,0.929921145,0.725828116,5.698555487
530,2.5,10.5,0.438174933,0.938598545,5.473347292
531,3,10.5,0.957950386,0.014775456,3.30437948
532,3.5,10.5,0.742829465,0.718617471,4.776627546
533,4,10.5,0.465113451,0.851424559,3.75200524
534,4.5,10.5,0.481978148,0.58269728,3.97515251
535,5,10.5,0.419320417,0.637481914,4.866383996
536,5.5,10.5,0.891055555,0.680095555,6.150332756
537,6,10.5,0.399794582,0.009154159,4.019061898
